word,品詞,意味,頻出度,example_en,example_ja
follow,動詞,に続く、に従う,A,,
consider,動詞,を考慮する,A,,
increase,動詞,増える、を増やす,A,,
expect,動詞,予期する、予想する、期待する,A,,
decide,動詞,することを決意する、を決定する、と判断する,A,,
develop,動詞,発達する、を発達させる,A,,
provide,動詞,を供給する,A,,
continue,動詞,続く、を続ける,A,,
include,動詞,を含む、含める,A,,
remain,動詞,ままでいる,A,,
reach,動詞,に着く、に達する,A,,
allow,動詞,を許可する、許す、を可能にする,A,,
force,動詞,を強制する,A,,
offer,動詞,を申し出る,A,,
realize,動詞,を悟る,A,,
suggest,動詞,と提案する、に気づく、を実現する,A,,
require,動詞,を必要とする、を要求する,A,,
worry,動詞,心配する、に心配させる,A,,
wonder,動詞,かと疑問に思う,A,,
cost,動詞,を要する,A,,
tend,動詞,する傾向がある,A,,
depend,動詞,依存する,A,,
share,動詞,を分け合う,A,,
demand,動詞,を要求する,A,,
support,動詞,を支持する、を立証する,A,,
hire,動詞,を雇う,A,,
regard,動詞,AをBだと思う、みなす,A,,
base,動詞,AがBに基づいている,A,,
improve,動詞,を向上させる,A,,
recognize,動詞,を認める,A,,
notice,動詞,に気づく,A,,
suppose,動詞,だと思う,A,,
raise,動詞,を上げる,A,,
prefer,動詞,をより好む,A,,
cheer,動詞,を励ます,A,,
suffer,動詞,を経験する、受ける,A,,
describe,動詞,を描写する、の特徴を説明する,A,,
prevent,動詞,をさまたげる,A,,
reduce,動詞,を減らす,A,,
mistake,動詞,を誤解する、間違える,A,,
prepare,動詞,準備をする,A,,
encourage,動詞,励ます,A,,
prove,動詞,だとわかる,A,,
treat,動詞,を扱う,A,,
establish,動詞,を設立する,A,,
relate,動詞,関係がある,A,,
compare,動詞,を比較する,A,,
spread,動詞,を広げる,A,,
refer,動詞,指示する,A,,
supply,動詞,を供給する,A,,
gain,動詞,を得る,A,,
destroy,動詞,を破壊する,A,,
apply,動詞,当てはまる,A,,
seek,動詞,を求める,A,,
search,動詞,Aを捜す,A,,
claim,動詞,と主張する、を要求する,A,,
draw,動詞,を引っ張る,A,,
refuse,動詞,を断る,A,,
respond,動詞,Aに返答する,A,,
mention,動詞,について述べる,A,,
judge,動詞,を判断する,A,,
approach,動詞,接近する,A,,
admit,動詞,を認める,A,,
reflect,動詞,を反映する,A,,
perform,動詞,を行う,A,,
bore,動詞,をうんざりさせる,A,,
survive,動詞,生き残る,A,,
represent,動詞,を表す,A,,
argue,動詞,と主張する、を議論する,A,,
grant,動詞,を認める,A,,
indicate,動詞,を指し示す,A,,
belong,動詞,所属している,A,,
acquire,動詞,を習得する,A,,
reply,動詞,返事をする,A,,
feed,動詞,に餌をやる,A,,
escape,動詞,逃げる,A,,
replace,動詞,に取って代わる,A,,
reveal,動詞,を明らかにする,A,,
surround,動詞,を取り囲む,A,,
suit,動詞,に合う,A,,
estimate,動詞,を推定する,A,,
aim,動詞,Aをねらう,A,,
earn,動詞,をもうける,A,,
decline,動詞,衰退する、低下する,A,,
afford,動詞,をする余裕がある,A,,
confuse,動詞,を当惑させる、を混同する,A,,
graduate,動詞,Aを卒業する,A,,
vary,動詞,変わる、さまざまである,A,,
remove,動詞,移す、取り去る,A,,
insist,動詞,主張する、言い張る,A,,
examine,動詞,調査する,A,,
remind,動詞,のことを思い出させる,A,,
contribute,動詞,貢献する,A,,
warn,動詞,に警告する,A,,
connect,動詞,をつなぐ,A,,
match,動詞,に匹敵する,A,,
focus,動詞,焦点を合わせる,A,,
reject,動詞,を断る,A,,
convince,動詞,を納得させる,A,,
associate,動詞,に関連づける,A,,
rush,動詞,急いで行く,A,,
stress,動詞,を強調する,A,,
attract,動詞,を引きつける,A,,
rely,動詞,Aに頼る,A,,
regret,動詞,を後悔する,A,,
adopt,動詞,を採用する,A,,
shake,動詞,を振る、震える,A,,
hurt,動詞,を傷つける,A,,
operate,動詞,作動する、を操作する、手術する,A,,
extend,動詞,を広げる、延長する,A,,
blame,動詞,を非難する、のせいにする,A,,
consist,動詞,Aで構成されている,A,,
persuade,動詞,を説得する,A,,
admire,動詞,に感心する,A,,
disappoint,動詞,を失望させる,A,,
expand,動詞,を拡大する,A,,
preserve,動詞,を保護する,A,,
struggle,動詞,苦闘する,A,,
arrange,動詞,の手はずを整える、を配列する,A,,
disturb,動詞,をさまたげる,A,,
employ,動詞,を雇う,A,,
engage,動詞,に従事する、を行う,A,,
abandon,動詞,を捨てる,A,,
display,動詞,を展示する,A,,
encounter,動詞,に偶然出会う,A,,
amuse,動詞,を楽しませる,A,,
bother,動詞,に面倒をかける、を気にする,A,,
concentrate,動詞,集中する,A,,
adapt,動詞,を適用させる,A,,
puzzle,動詞,を当惑させる,A,,
appeal,動詞,に訴える、を引きつける,A,,
combine,動詞,を結合させる,A,,
delay,動詞,を遅らせる,A,,
repair,動詞,を修理する,A,,
fascinate,動詞,を夢中にさせる,A,,
pardon,動詞,を許す,A,,
import,動詞,を輸入する,A,,
remark,動詞,述べる,A,,
reserve,動詞,を予約する、を取っておく,A,,
amaze,動詞,を驚嘆させる,A,,
frighten,動詞,を怯えさせる,A,,
release,動詞,を解放する,A,,
rent,動詞,を賃借りする,A,,
recover,動詞,Aから回復する,A,,
suspect,動詞,ではないかと思う,A,,
deliver,動詞,を配達する,A,,
identify,動詞,の正体を突き止める,A,,
locate,動詞,位置する,A,,
manufacture,動詞,製造する,A,,
occupy,動詞,占める,A,,
own,動詞,所有している,A,,
expose,動詞,にさらす,A,,
translate,動詞,翻訳する,A,,
cure,動詞,治療する,A,,
perceive,動詞,を知覚する,A,,
adjust,動詞,慣れる、調節して合わせる,A,,
alarm,動詞,をぎょっとさせる,A,,
assist,動詞,助ける、手伝う,A,,
freeze,動詞,凍りつく,A,,
spoil,動詞,を台無しにする,A,,
shift,動詞,を変える,A,,
embarrass,動詞,を当惑させる,A,,
approve,動詞,賛成する,A,,
weigh,動詞,の重さがある、を比較検討する、よく考える,A,,
stretch,動詞,を広げる,A,,
participate,動詞,Aに参加する,A,,
exhibit,動詞,を展示する,A,,
owe,動詞,AのことはBのおかげだ,A,,
celebrate,動詞,を祝う,A,,
decorate,動詞,を装飾する,A,,
forgive,動詞,を許す,A,,
seat,動詞,座っている,A,,
injure,動詞,を傷つける,A,,
sew,動詞,を縫う,A,,
result,名詞,結果,A,,
feature,名詞,特徴,A,,
society,名詞,社会,A,,
wheel,名詞,車輪,A,,
value,名詞,価値,A,,
effect,名詞,効果、影響、結果,A,,
individual,名詞,個人,A,,
influence,名詞,影響（力）,A,,
fee,名詞,謝礼、料金,A,,
rate,名詞,割合,A,,
sign,名詞,印、兆候,A,,
service,名詞,事業、業務,A,,
advance,名詞,前進、進歩,A,,
laughter,名詞,笑い,A,,
material,名詞,物質,A,,
industry,名詞,工業,A,,
attempt,名詞,試み,A,,
trade,名詞,貿易,A,,
progress,名詞,進歩、前進,A,,
excuse,名詞,言い訳,A,,
custom,名詞,習慣,A,,
passage,名詞,一節、経過,A,,
economy,名詞,経済,A,,
track,名詞,小道、足跡,A,,
transportation,名詞,交通機関、輸送,A,,
official,名詞,役人,A,,
sight,名詞,見ること、光景,A,,
taste,名詞,味、好み,A,,
range,名詞,範囲,A,,
appointment,名詞,約束,A,,
patient,名詞,患者,A,,
project,名詞,計画,A,,
favor,名詞,行為,A,,
appearance,名詞,外見,A,,
risk,名詞,危険,A,,
benefit,名詞,利益,A,,
resident,名詞,住民,A,,
relative,名詞,親族,A,,
region,名詞,地域,A,,
characteristic,名詞,特徴,A,,
