timestamp,en,ja
2026-01-04 23:43:39,clever,賢明な
2026-01-04 23:43:42,salty,塩辛い
2026-01-04 23:43:46,dense,密集した
2026-01-04 23:43:48,exist,存在する
2026-01-04 23:43:51,found,〜を設立する
2026-01-04 23:43:55,fragile,壊れやすい
2026-01-04 23:43:57,evacuate,〜を避難させる
2026-01-04 23:43:59,blame,〜を非難する
2026-01-04 23:44:04,perceive,～を知覚する
2026-01-04 23:44:06,calm,〜を落ち着かせる
2026-01-05 06:43:56,stiff,堅い
2026-01-05 06:44:00,participate,参加する
2026-01-05 06:44:06,manage,～を成し遂げる
2026-01-05 06:44:10,broadcast,～を放送する
2026-01-05 06:44:14,bitter,にがい
2026-01-05 06:44:16,mental,精神の
2026-01-05 06:44:45,upright,直立した
2026-01-05 06:44:48,seem,〜のように思われる
2026-01-05 06:44:53,shut,～を閉じる
2026-01-05 06:44:57,negative,悪い、よくない
2026-02-07 16:50:03,announce,～と発表する
2026-02-07 16:50:15,attach,～を添付する・～を取りつける
2026-02-07 16:50:20,exclaim,～と叫ぶ
2026-02-07 16:50:24,register,～を登録する
2026-02-07 16:50:27,confirm,～を確認する
2026-02-07 16:50:30,demand,～を要求する・～を問いただす
2026-02-07 16:50:35,press,～を押す
2026-02-07 16:50:38,lean,体を預ける
2026-02-07 16:50:46,deliver,～を配達する
2026-02-07 16:50:51,arrange,～を並べる・盛りつける
2026-03-15 20:15:24,look for,～を探す
2026-03-15 20:15:27,deal with,～を扱う
2026-03-15 20:15:42,keep up with,～についていく
2026-03-15 20:15:49,be through with,～を終える
2026-03-15 20:15:57,look like,～のように見える
2026-03-15 20:16:14,go bad,腐る
2026-03-15 20:16:17,at first,初めは
2026-03-15 20:16:23,come across,～に偶然出会う
2026-03-15 20:16:27,make room for,～に場所をあける
2026-03-15 20:16:51,invent,〜を発明する•考案する
